nct_id,outcome_domain,time_frame,time_months,module_path,group_id,arm_group_name,arm_role,arm_class,arm_label,subjects_with_sae,event_count,denominator,count_type,is_event_count,is_incomplete,source_url
NCT03276728,SAE,Part A: Day 1 up to Day 31 Part B: Day 1 up to Day 37 Part C: Day 1 up to Day 51,1.675564681724846,resultsSection.adverseEventsModule,EG007,Part C: HFpEF AMG 986,treatment,Other,part c: hfpef amg 986,1,,3,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03276728
NCT03327649,SAE,3 months,3.0,resultsSection.adverseEventsModule,EG001,Active Treatment,treatment,Other,active treatment,4,,24,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03327649
NCT03327649,SAE,3 months,3.0,resultsSection.adverseEventsModule,EG000,Sham Control,comparator,Placebo/SoC,placebo,3,,24,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03327649
NCT03448406,SAE,"From first intake of study medication, until 7 days after last intake of study medication, up to 92 days.",0.22997946611909653,resultsSection.adverseEventsModule,EG001,10 mg Empagliflozin,treatment,SGLT2 inhibitors,empagliflozin,6,,157,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03448406
NCT03448406,SAE,"From first intake of study medication, until 7 days after last intake of study medication, up to 92 days.",0.22997946611909653,resultsSection.adverseEventsModule,EG000,Placebo,comparator,Placebo/SoC,placebo,13,,158,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03448406
NCT03541603,SAE,6 weeks,1.3808975834292292,resultsSection.adverseEventsModule,EG000,Levosimendan 2.5mg/mL Injectable Solution,treatment,Other,levosimendan 2.5mg/ml injectable solution,2,,18,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03541603
NCT03541603,SAE,6 weeks,1.3808975834292292,resultsSection.adverseEventsModule,EG001,Matching Placebo,comparator,Placebo/SoC,placebo,1,,19,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03541603
NCT03547583,SAE,Timeframe for reporting adverse events: From the first application of study medication up to 5 calendar days after end of treatment with study medication. Timeframe for number of death (all causes): After study medication start until last contact date. (The median follow-up time is 197 days.),6.4722792607802875,resultsSection.adverseEventsModule,EG002,Placebo,comparator,Placebo/SoC,placebo,4,,262,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03547583
NCT03547583,SAE,Timeframe for reporting adverse events: From the first application of study medication up to 5 calendar days after end of treatment with study medication. Timeframe for number of death (all causes): After study medication start until last contact date. (The median follow-up time is 197 days.),6.4722792607802875,resultsSection.adverseEventsModule,EG000,Vericiguat up to 10 mg,treatment,sGC stimulators,vericiguat,4,,262,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03547583
NCT03547583,SAE,Timeframe for reporting adverse events: From the first application of study medication up to 5 calendar days after end of treatment with study medication. Timeframe for number of death (all causes): After study medication start until last contact date. (The median follow-up time is 197 days.),6.4722792607802875,resultsSection.adverseEventsModule,EG001,Vericiguat up to 15 mg,treatment,sGC stimulators,vericiguat,7,,264,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03547583
NCT03611153,SAE,"Adverse events were collected on each participant from the start of the invasive testing procedure and study drug administration, through the follow-up visit, which was approximately 9-14 days later; for a total of approximately 15 days.",0.45995893223819306,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,1,,15,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03611153
NCT03619213,SAE,"[All-cause mortality]: From randomization until end of study, up to 42.2 months. [Serious AE and other AE] From first dose until end of study, up to 42.2 months.",42.2,resultsSection.adverseEventsModule,EG000,Dapa 10 mg,treatment,SGLT2 inhibitors,dapa 10 mg,308,,3126,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03619213
NCT03619213,SAE,"[All-cause mortality]: From randomization until end of study, up to 42.2 months. [Serious AE and other AE] From first dose until end of study, up to 42.2 months.",42.2,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,377,,3127,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03619213
NCT03756285,SAE,"Adverse Events will be collected from the time of the first dose throughout the treatment period and including the follow-up period, up to 124 days. Serious Adverse Events will be recorded from the time of signing the informed consent form through follow-up period, up to 124 days.",4.073921971252567,resultsSection.adverseEventsModule,EG000,AZD4831,treatment,Other,azd4831,1,,27,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03756285
NCT03756285,SAE,"Adverse Events will be collected from the time of the first dose throughout the treatment period and including the follow-up period, up to 124 days. Serious Adverse Events will be recorded from the time of signing the informed consent form through follow-up period, up to 124 days.",4.073921971252567,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,1,,14,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03756285
